Year,Name of Dam,تراز انتهای سال آبی,تراز ابتدای سال آبی,حجم انتهای سال آبی,حجم ابتدای سال آبی,ورودی,سایر,كل,نشتي,پمپاژ,زهكش,تبخير,تخلیه رسوب,دريچه آبگيري,سرريز,کل,Type of Use,ID,Value,sharestan
1394-95,سد طرق,1201.92,1203.86,11.932,14.039,10.78,0.1575,10.7799,0.1103,0,0,1.1417,0.216,10.7207,0,12.208,كشاورزي,4,1.076,مشهد
1394-95,سد كارده,1280.8,1277.07,6.5,3.9508,10.21,0,6.6893,0,0,0,0.8411,0,6.7468,0,7.605,كشاورزي,3,2.9693,مشهد
1394-95,سد ارداک,1293.5,1283.41,27.465,13.8046,24.73,0.1548,9.6828,0,0,0,1.7369,0,9.2676,0,11.036,كشاورزي,3,9.4596,مشهد
1394-95,سد چالي دره ,96.88,94.86,0.7509,0.5974,0.695,0,0.5753,0,0,0,0.0157,0,0.5703,0,0.58,كشاورزي,3,0.5753,مشهد
1394-95,سد دولت آباد ,1016,1016.7,0.578,0.6326,1.11,0,1.0437,0,0,0,0.0255,0,1.0502,0,1.041,كشاورزي,3,1.0437,مشهد
1395-96,سد طرق,1203.15,1201.92,13.2225,11.932,12.51,0.176,9.1496,0.0216,0,0,0.2229,0,9.1498,0,9.401,كشاورزي,4,1.5614,مشهد
1395-96,سد كارده,1281.87,1280.8,7.343,6.5,6.67,0,5.3963,0,0,0,0.0758,0,5.4275,0,5.53,كشاورزي,3,2.9269,مشهد
1395-96,سد ارداک,1289.68,1293.5,21.6168,27.465,20.47,1.1757,25.3608,0,0,0,0.2397,0.2072,23.7492,1.5376,25.771,كشاورزي,3,9.8284,مشهد
1395-96,سد چالي دره ,95.35,96.88,0.6346,0.7509,0.98,0,0.7154,0,0,0,0.0144,0,0.7238,0,0.715,كشاورزي,3,0.7154,مشهد
1395-96,سد دولت آباد ,1019.8,1016,0.8744,0.578,1.38,0,1.3084,0,0,0,0.0194,0,1.3683,0,1.367,كشاورزي,3,1.3084,مشهد
1396-97,سد طرق,1196.24,1203.15,7.392,13.2225,4.77,0.3152,9.8804,0,0,0,0,0,9.8701,0,9.916,كشاورزي,4,0.572,مشهد
1396-97,سد كارده,1277.9,1281.87,4.47,7.343,4.51,0,6.7158,0,0,0,0,0,6.7163,0,6.75,كشاورزي,3,4.1023,مشهد
1396-97,سد ارداک,1279.8,1289.68,10.229,21.6168,12.74,0,24.4325,0,0,0,0,0,23.0246,0,23.037,كشاورزي,3,10.2226,مشهد
1396-97,سد چالي دره ,94.35,95.35,0.5586,0.6346,0.798,0,0.7873,0,0,0,0.0245,0,0.7854,0,0.829,كشاورزي,3,0.0687,مشهد
1396-97,سد دولت آباد ,1017.5,1019.8,0.695,0.8744,1.85,0,1.0544,0,0,0,0.044,0,1.05,1.0118,2.082,كشاورزي,3,1.0544,مشهد
1397-98,سد طرق,1209.14,1196.24,20.668,7.392,23.89,0.3276,8.6207,0,0,0,0,0,8.609,0,8.665,كشاورزي,4,0.6368,مشهد
1397-98,سد كارده,1281.93,1277.9,7.394,4.47,9.6,1.6752,6.4327,0,0,0,0,0,6.4491,0,6.424,كشاورزي,3,4.6714,مشهد
1397-98,سد ارداک,1291.63,1279.8,23.6574,10.229,34.04,0,18.7315,0,0,0,0,0,17.9754,0,17.955,كشاورزي,3,8.6218,مشهد
1397-98,سد چالي دره ,98.12,94.35,0.9034,0.5586,0.96,0,0.4265,0.0028,0,0,0.0166,0.0986,0.4271,0,0.538,كشاورزي,3,0.0051,مشهد
1397-98,سد دولت آباد ,1023.5,1017.5,1.2,0.695,9.9,0,0.2521,0,0,0,0.0237,0,0.2987,9.5102,9.894,كشاورزي,3,0.2521,مشهد
1398-99,سد طرق,1214.47,1209.14,28.692,20.668,25.49,0.3276,14.9428,0,0,0,0.0217,0,14.4919,1.7015,16.245,كشاورزي,4,1.9512,مشهد
1398-99,سد كارده,1284.58,1281.93,9.74,7.394,11.76,2.46,8.9194,0,0,0,0,0,9.0204,0,9.022,كشاورزي,3,6.4594,مشهد
1398-99,سد ارداک,1290.12,1291.63,22.1776,23.6574,40.88,0,30.2844,0,0,0,0.001,5.0112,29.3102,7.992,42.173,كشاورزي,3,13.7636,مشهد
1398-99,سد چالي دره ,97.07,98.12,0.769,0.9034,0.633,0,0.5348,0.0077,0,0,0,0.1328,0.5603,0,0.712,كشاورزي,3,0.4188,مشهد
1398-99,سد دولت آباد ,1023.5,1023.5,1.2,1.2,12.09,0,0,0,0,0,0.0709,6.9076,0,5.2002,12.192,كشاورزي,3,0,مشهد
1399-00,سد طرق,1204.3,1214.45,14.47,28.69,6.97,0.329,18.6915,0,0,0,0.079,0,18.778,0,18.857,كشاورزي,4,1.1131,مشهد
