سال آبي,اشتراک,امور,اشتراک برق,محدوده مطالعاتي,شهرستان,MA_XUTM,MA_YUTM,عمق چاه,دبي,ساعت کارکرد,اضافه کسربرداشت,تخليه مترمکعب,نوع چاه,نوع مصرف,نيرو محرکه,وضعيت چاه,برداشت واقعي,کنتور هوشمند,conat,ID
1395-96,524331,آب مشهد,0,مشهد - چناران,باخرز,696312,4084321,15,1,4256,0,15321.6,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,15321.6,ندارد,6.96312E+12,2
1395-96,524329,آب مشهد,0,مشهد - چناران,چناران,673301,4083853,30,1.5,4256,0,22982.4,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,22982.4,ندارد,6.73301E+12,1
1395-96,526635,آب مشهد,0,مشهد - چناران,چناران,676610,4087293,20,2,4256,0,30643.2,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,30643.2,ندارد,6.7661E+12,1
1395-96,526636,آب مشهد,99999,مشهد - چناران,چناران,676876,4086784,15,2.5,4256,0,38304,نيمه عميق,كشاورزي,برقي,غيرمجاز,38304,ندارد,6.76876E+12,1
1395-96,526639,آب مشهد,0,مشهد - چناران,چناران,676826,4087664,15,2,4256,0,30643.2,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,30643.2,ندارد,6.76826E+12,1
1395-96,526640,آب مشهد,0,مشهد - چناران,چناران,676662,4087152,20,2.3,4256,0,35239.68,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,35239.68,ندارد,6.76662E+12,1
1395-96,524958,آب مشهد,0,مشهد - چناران,چناران,677325,4091207,4,1,4256,0,15321.6,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,15321.6,ندارد,6.77325E+12,1
1395-96,519968,آب مشهد,0,مشهد - چناران,چناران,665220,4086455,15,1.5,4256,0,22982.4,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,22982.4,ندارد,6.6522E+12,1
1395-96,519969,آب مشهد,0,مشهد - چناران,چناران,665281,4086358,15,1.2,4256,0,18385.92,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,18385.92,ندارد,6.65281E+12,1
1395-96,519970,آب مشهد,0,مشهد - چناران,چناران,665284,4086441,11,0.5,4256,0,7660.8,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,7660.8,ندارد,6.65284E+12,1
