Water_Year,Source_Name,تراز انتهاي سال آبي,تراز ابتداي سال آبي,حجم انتهاي سال آبي,حجم ابتداي سال آبي,ورودي,ساير,كل,نشتي,پمپاژ,زهكش,تبخير,تخليه رسوب,دريچه آبگيري,سرريز,کل,Usage_Type,ID,Extraction_MCM,County
1394-95,دوستي,447.34,451.54,307.794,398.242,133.83,74.9088,160.5997,0,0,0,39.5245,0,160.7391,0,200.272,كشاورزي,3,1.2952,مشهد
1394-95,دوستي,447.34,451.54,307.794,398.242,133.83,74.9088,160.5997,0,0,0,39.5245,0,160.7391,0,200.272,شرب,3,84.3957,مشهد
1394-95,دوستي,447.34,451.54,307.794,398.242,133.83,74.9088,160.5997,0,0,0,39.5245,0,160.7391,0,200.272,صنعتي,3,0,مشهد
1394-95,دوستي,447.34,451.54,307.794,398.242,133.83,74.9088,160.5997,0,0,0,39.5245,0,160.7391,0,200.272,ساير,3,74.9088,مشهد
1395-96,دوستي,448.7,447.34,336.17,307.794,291.23,118.3073,210.7672,0.216,0,0,42.3797,0,210.6818,0,253.294,كشاورزي,3,14.8169,مشهد
1395-96,دوستي,448.7,447.34,336.17,307.794,291.23,118.3073,210.7672,0.216,0,0,42.3797,0,210.6818,0,253.294,شرب,3,77.643,مشهد
1395-96,دوستي,448.7,447.34,336.17,307.794,291.23,118.3073,210.7672,0.216,0,0,42.3797,0,210.6818,0,253.294,صنعتي,3,0,مشهد
1395-96,دوستي,448.7,447.34,336.17,307.794,291.23,118.3073,210.7672,0.216,0,0,42.3797,0,210.6818,0,253.294,ساير,3,118.3073,مشهد
1396-97,دوستي,439.56,448.7,185.994,336.17,47.46,101.8709,163.8971,0,0,0,24.5565,0,163.0345,0,187.617,كشاورزي,3,0.0345,مشهد
1396-97,دوستي,439.56,448.7,185.994,336.17,47.46,101.8709,163.8971,0,0,0,24.5565,0,163.0345,0,187.617,شرب,3,61.9917,مشهد
1396-97,دوستي,439.56,448.7,185.994,336.17,47.46,101.8709,163.8971,0,0,0,24.5565,0,163.0345,0,187.617,صنعتي,3,0,مشهد
1396-97,دوستي,439.56,448.7,185.994,336.17,47.46,101.8709,163.8971,0,0,0,24.5565,0,163.0345,0,187.617,ساير,3,101.8709,مشهد
1397-98,دوستي,460.56,439.56,642.922,185.994,691.84,76.1028,173.5401,0,0,0,38.4497,0,173.1876,0,211.644,كشاورزي,3,35.1648,مشهد
1397-98,دوستي,460.56,439.56,642.922,185.994,691.84,76.1028,173.5401,0,0,0,38.4497,0,173.1876,0,211.644,شرب,3,62.2725,مشهد
1397-98,دوستي,460.56,439.56,642.922,185.994,691.84,76.1028,173.5401,0,0,0,38.4497,0,173.1876,0,211.644,صنعتي,3,0,مشهد
1397-98,دوستي,460.56,439.56,642.922,185.994,691.84,76.1028,173.5401,0,0,0,38.4497,0,173.1876,0,211.644,ساير,3,76.1028,مشهد
1398-99,دوستي,463.1,460.56,727.49,642.922,551.55,179.3051,387.7578,0,0,0,62.7807,8.856,386.288,0,457.947,كشاورزي,3,116.525,مشهد
1398-99,دوستي,463.1,460.56,727.49,642.922,551.55,179.3051,387.7578,0,0,0,62.7807,8.856,386.288,0,457.947,شرب,3,91.9277,مشهد
1398-99,دوستي,463.1,460.56,727.49,642.922,551.55,179.3051,387.7578,0,0,0,62.7807,8.856,386.288,0,457.947,صنعتي,3,0,مشهد
1398-99,دوستي,463.1,460.56,727.49,642.922,551.55,179.3051,387.7578,0,0,0,62.7807,8.856,386.288,0,457.947,ساير,3,179.3051,مشهد
1399-00,دوستي,449.22,463.04,347.11,727.49,4.83,204.02,326.0262,0,0,0,55.3,2.305,326.142,0,383.747,كشاورزي,3,34.6568,مشهد
1399-00,دوستي,449.22,463.04,347.11,727.49,4.83,204.02,326.0262,0,0,0,55.3,2.305,326.142,0,383.747,شرب,3,87.3494,مشهد
1399-00,دوستي,449.22,463.04,347.11,727.49,4.83,204.02,326.0262,0,0,0,55.3,2.305,326.142,0,383.747,صنعتي,3,0,مشهد
1399-00,دوستي,449.22,463.04,347.11,727.49,4.83,204.02,326.0262,0,0,0,55.3,2.305,326.142,0,383.747,ساير,3,204.02,مشهد
1400-01,دوستي,443.21,449.19,238.04,346.48,72.59,49.2046,131.2622,0,0,0,46.5782,0,131.2596,0,177.8378,كشاورزي,3,0,مشهد
1400-01,دوستي,443.21,449.19,238.04,346.48,72.59,49.2046,131.2622,0,0,0,46.5782,0,131.2596,0,177.8378,شرب,3,82.0576,مشهد
1400-01,دوستي,443.21,449.19,238.04,346.48,72.59,49.2046,131.2622,0,0,0,46.5782,0,131.2596,0,177.8378,صنعتي,3,0,مشهد
1400-01,دوستي,443.21,449.19,238.04,346.48,72.59,49.2046,131.2622,0,0,0,46.5782,0,131.2596,0,177.8378,ساير,3,49.2046,مشهد
1401-02,دوستي,430.73,443.21,88.6292,238.04,1.46,61.0042,125.7758,0,0,0,21.3153,0,125.7725,0,147.0878,كشاورزي,3,0,مشهد
1401-02,دوستي,430.73,443.21,88.6292,238.04,1.46,61.0042,125.7758,0,0,0,21.3153,0,125.7725,0,147.0878,شرب,3,64.7716,مشهد
1401-02,دوستي,430.73,443.21,88.6292,238.04,1.46,61.0042,125.7758,0,0,0,21.3153,0,125.7725,0,147.0878,صنعتي,3,0,مشهد
1401-02,دوستي,430.73,443.21,88.6292,238.04,1.46,61.0042,125.7758,0,0,0,21.3153,0,125.7725,0,147.0878,ساير,3,61.0042,مشهد
1402-03,دوستي,439.25,430.69,181.85,88.27,197.21,29.635,82.1232,0,0,0,19.7457,0,82.1231,0,101.8688,كشاورزي,3,0,مشهد
1402-03,دوستي,439.25,430.69,181.85,88.27,197.21,29.635,82.1232,0,0,0,19.7457,0,82.1231,0,101.8688,شرب,3,52.4882,مشهد
1402-03,دوستي,439.25,430.69,181.85,88.27,197.21,29.635,82.1232,0,0,0,19.7457,0,82.1231,0,101.8688,صنعتي,3,0,مشهد
1402-03,دوستي,439.25,430.69,181.85,88.27,197.21,29.635,82.1232,0,0,0,19.7457,0,82.1231,0,101.8688,ساير,3,29.635,مشهد
